date,sampling_role,matched_pair_id,matched_date,divergence
20240311,matched_low_control,M0246,20240528,-0.52
20240313,matched_low_control,M0265,20240801,-1.19
20240314,matched_low_control,M0256,20240704,-0.57
20240315,matched_low_control,M0251,20240624,-0.65
20240318,matched_low_control,M0239,20240320,-0.99
20240326,matched_low_control,M0206,20240321,-0.89
20240327,matched_low_control,M0207,20240322,-1.39
20240328,matched_low_control,M0208,20240325,0.51
20240329,matched_low_control,M0211,20240411,-1.72
20240405,matched_low_control,M0196,20240206,-0.88
20240408,matched_low_control,M0197,20240207,-1.38
20240409,matched_low_control,M0198,20240208,-0.52
20240417,matched_low_control,M0213,20240416,-1.31
20240424,matched_low_control,M0159,20240213,-0.75
20240426,matched_low_control,M0161,20240425,0.12
20240429,matched_low_control,M0162,20240430,-1.35
20240507,matched_low_control,M0163,20240508,-0.26
20240513,matched_low_control,M0164,20240514,1.3
20240516,matched_low_control,M0165,20240517,-1.07
20240521,matched_low_control,M0204,20240229,0.41
20240523,matched_low_control,M0245,20240527,0.61
20240531,matched_low_control,M0247,20240529,0.53
20240603,matched_low_control,M0249,20240611,-1.46
20240604,matched_low_control,M0248,20240610,-0.75
20240605,matched_low_control,M0244,20240524,-0.83
20240612,matched_low_control,M0250,20240614,0.92
20240613,matched_low_control,M0212,20240412,1.67
20240617,matched_low_control,M0243,20240522,-1.55
20240618,matched_low_control,M0242,20240415,-1.46
20240621,matched_low_control,M0205,20240304,0.77
20240627,matched_low_control,M0252,20240625,0.19
20240701,matched_low_control,M0254,20240628,0.87
20240703,matched_low_control,M0255,20240702,-0.44
20240708,matched_low_control,M0258,20240711,-0.23
20240709,matched_low_control,M0260,20240718,-1.67
20240710,matched_low_control,M0257,20240705,-0.38
20240712,matched_low_control,M0209,20240403,1.58
20240715,matched_low_control,M0240,20240401,1.3
20240716,matched_low_control,M0241,20240402,-1.13
20240719,matched_low_control,M0259,20240717,0.09
20240722,matched_low_control,M0261,20240724,-0.77
20240723,matched_low_control,M0263,20240726,-1.17
20240729,matched_low_control,M0236,20240131,-0.23
20240730,matched_low_control,M0235,20241128,0.06
20240802,matched_low_control,M0218,20240520,-0.1
20240812,matched_low_control,M0166,20240814,-0.68
20240820,matched_low_control,M0167,20240821,1.07
20240828,matched_low_control,M0168,20240827,-0.92
20240906,matched_low_control,M0223,20240904,-1.2
20240909,matched_low_control,M0228,20240925,-0.59
20240911,matched_low_control,M0267,20240910,0.37
20240912,matched_low_control,M0222,20240903,0.74
20240919,matched_low_control,M0219,20240607,-0.55
20240927,matched_low_control,M0169,20240926,-1.69
20240930,matched_low_control,M0171,20241007,-0.97
20241002,matched_low_control,M0170,20241004,-0.6
20241010,matched_low_control,M0172,20241008,0.01
20241011,matched_low_control,M0178,20241025,0.79
20241014,matched_low_control,M0173,20241015,1.46
20241016,matched_low_control,M0177,20241024,0.22
20241017,matched_low_control,M0176,20241023,-0.9
20241022,matched_low_control,M0175,20241021,1.25
20241028,matched_low_control,M0174,20241018,-0.82
20241029,matched_low_control,M0226,20240923,-0.56
20241031,matched_low_control,M0229,20241030,-1.59
20241101,matched_low_control,M0266,20240905,0.79
20241104,matched_low_control,M0225,20240920,1.61
20241105,matched_low_control,M0227,20240924,-0.44
20241107,matched_low_control,M0262,20240725,-0.27
20241108,matched_low_control,M0237,20240201,1.15
