date,hynix_value,other_listed_value_mtm,listed_value_mtm,unlisted_value,netcash_value,unlisted_src_q,netcash_src_q,nav_basis,other_listed_value_frozen,nav_mtm,nav_company,skq_close,skq_shares,skq_shares_basis,skq_market_cap,nav_per_share_mtm,nav_discount_pct_mtm,nav_per_share_company,nav_discount_pct_company,nav_mtm_trillion,nav_company_trillion
20251222,84738000000000.0,360724550243.0,85098724550243.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,90341224550243.0,90529154781590.0,315000.0,132087115,"2025-11-24 소각 453,743주",41607441225000.0,683952.0,53.94,685375.0,54.04,90.3412,90.5292
20251223,85322400000000.0,377523118988.0,85699923118988.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,90942423118988.0,91113554781590.0,315000.0,132087115,"2025-11-24 소각 453,743주",41607441225000.0,688503.0,54.25,689799.0,54.33,90.9424,91.1136
20251224,85906800000000.0,367498574692.0,86274298574692.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,91516798574692.0,91697954781590.0,321000.0,132087115,"2025-11-24 소각 453,743주",42399963915000.0,692852.0,53.67,694223.0,53.76,91.5168,91.698
20251226,87513900000000.0,354329795339.0,87868229795339.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,93110729795339.0,93305054781590.0,334500.0,132087115,"2025-11-24 소각 453,743주",44183139967500.0,704919.0,52.55,706390.0,52.65,93.1107,93.3051
20251229,93504000000000.0,336696766494.0,93840696766494.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,99083196766494.0,99295154781590.0,346000.0,132087115,"2025-11-24 소각 453,743주",45702141790000.0,750135.0,53.87,751740.0,53.97,99.0832,99.2952
20251230,95111100000000.0,330216036614.0,95441316036614.0,4154300000000.0,1088200000000.0,2025Q3,2025Q3,lagged,548654781590.0,100683816036614.0,100902254781590.0,368000.0,132087115,"2025-11-24 소각 453,743주",48608058320000.0,762253.0,51.72,763907.0,51.83,100.6838,100.9023
20260102,98909700000000.0,306586652936.0,99216286652936.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,104078786652936.0,104102416036614.0,392000.0,132087115,"2025-11-24 소각 453,743주",51778149080000.0,787956.0,50.25,788135.0,50.26,104.0788,104.1024
20260105,101685600000000.0,310643224250.0,101996243224250.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,106858743224250.0,106878316036614.0,416000.0,132087115,"2025-11-24 소각 453,743주",54948239840000.0,809002.0,48.58,809150.0,48.59,106.8587,106.8783
20260106,106068600000000.0,318743080983.0,106387343080983.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,111249843080983.0,111261316036614.0,432000.0,132087115,"2025-11-24 소각 453,743주",57061633680000.0,842246.0,48.71,842333.0,48.71,111.2498,111.2613
20260107,108406200000000.0,326784314481.0,108732984314481.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113595484314481.0,113598916036614.0,429500.0,132087115,"2025-11-24 소각 453,743주",56731415892500.0,860004.0,50.06,860030.0,50.06,113.5955,113.5989
20260108,110451600000000.0,320851016545.0,110772451016545.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,115634951016545.0,115644316036614.0,430500.0,132087115,"2025-11-24 소각 453,743주",56863503007500.0,875445.0,50.82,875515.0,50.83,115.635,115.6443
20260109,108698400000000.0,327978935980.0,109026378935980.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113888878935980.0,113891116036614.0,430500.0,132087115,"2025-11-24 소각 453,743주",56863503007500.0,862226.0,50.07,862242.0,50.07,113.8889,113.8911
