date,fut_listed,fut_basis,fut_basis_pct,fut_volume
20250704,1,-300,-0.184,17230
20250707,1,-300,-0.185,8012
20250708,1,-900,-0.521,17577
20250709,1,-1200,-0.662,10664
20250710,1,-700,-0.381,8974
20250711,1,700,0.402,18055
20250714,1,0,0.0,5489
20250715,1,1000,0.578,7432
20250716,1,700,0.402,6350
20250717,1,100,0.063,24918
20250718,1,1100,0.685,10723
20250721,1,800,0.496,5019
20250722,1,500,0.319,7136
20250723,1,800,0.513,11015
20250724,1,-700,-0.461,11385
20250725,1,900,0.588,5828
20250728,1,-1000,-0.666,8742
20250729,1,500,0.335,7318
20250730,1,0,0.0,7541
20250731,1,-100,-0.066,11188
20250801,1,700,0.499,14203
20250804,1,500,0.357,10953
20250805,1,-500,-0.348,8426
20250806,1,500,0.356,6605
20250807,1,500,0.352,7754
20250808,1,700,0.503,13733
20250811,1,-700,-0.493,5504
20250812,1,-141100,-99.717,9179
20250813,1,0,0.0,5281
20250814,1,-143400,-99.791,12780
20250818,1,600,0.436,7673
20250819,1,200,0.142,7782
20250820,1,-600,-0.438,11671
20250821,1,300,0.222,10002
20250822,1,100,0.074,5260
20250825,1,-600,-0.414,10327
20250826,1,600,0.425,8479
20250827,1,700,0.5,5887
20250828,1,400,0.267,16538
20250829,1,1100,0.738,7099
20250901,1,600,0.414,8549
20250902,1,900,0.627,5622
20250903,1,700,0.486,4023
20250904,1,-600,-0.402,8396
20250905,1,100,0.065,8138
20250908,1,-300,-0.195,3538
20250909,1,-161800,-99.877,11592
20250910,1,-500,-0.287,19128
20250911,1,-1100,-0.604,13785
20250912,1,-600,-0.304,24336
20250915,1,-500,-0.249,15872
20250916,1,500,0.243,12264
20250917,1,500,0.249,10133
20250918,1,0,0.0,16599
20250919,1,-1000,-0.462,7539
20250922,1,500,0.232,12115
20250923,1,500,0.227,8637
20250924,1,0,0.0,8266
20250925,1,500,0.237,10270
20250926,1,200,0.102,17003
20250929,1,-200,-0.101,7936
20250930,1,-200800,-99.653,14381
20251001,1,-500,-0.243,5769
20251002,1,1500,0.63,27142
20251010,1,0,0.0,25236
